gsm,cond,n_immune,Treg_pct,dataset,lt
GSM6605434,Endometriosis,2568,2.4922118380062304,GSE214411,0.9525115027763683
GSM6605435,Endometriosis,2134,2.061855670103093,GSE214411,0.7709669594044916
GSM6605436,Endometriosis,1895,1.7941952506596308,GSE214411,0.6387940785000111
GSM6605437,Control,1048,0.4770992366412214,GSE214411,-0.5497410400156642
GSM6605438,Control,726,2.7548209366391188,GSE214411,1.049009121925321
GSM6605439,Control,4559,2.2153981136214083,GSE214411,0.8395816440795661
GSM6605440,Control,1220,2.7868852459016398,GSE214411,1.0601781513288493
GSM6574509,Endometriosis,989,0.3033367037411527,GSE213216,-0.9079835727113511
GSM6574510,Endometriosis,1614,3.5315985130111525,GSE213216,1.289672913057058
GSM6574511,Endometriosis,5882,0.6800408024481469,GSE213216,-0.2484090498357059
GSM6574512,Endometriosis,3524,1.04994324631101,GSE213216,0.13971259012345216
GSM6574514,Endometriosis,1429,0.4198740377886634,GSE213216,-0.6541687317721069
GSM6574515,Endometriosis,4161,0.8651766402307137,GSE213216,-0.03544414752297963
GSM6574516,Endometriosis,7648,1.3336820083682008,GSE213216,0.3602459661003221
GSM6574517,Endometriosis,8806,1.8623665682489208,GSE213216,0.6741511776617671
GSM6574518,Control,3094,0.9372979961215256,GSE213216,0.03661925163224807
GSM6574519,Endometriosis,1147,0.6102877070619006,GSE213216,-0.34208516981277465
GSM6574520,Endometriosis,768,0.6510416666666667,GSE213216,-0.2862941471769328
GSM6574521,Control,1057,0.9460737937559128,GSE213216,0.045043911678118304
GSM6574522,Endometriosis,3254,0.3073140749846342,GSE213216,-0.8981707081248568
GSM6574523,Endometriosis,2118,0.424929178470255,GSE213216,-0.6444919236419826
GSM6574524,Endometriosis,3345,0.6278026905829596,GSE213216,-0.31772529693957335
GSM6574525,Endometriosis,4537,1.0138858276394092,GSE213216,0.10785464759874011
GSM6574526,Endometriosis,5658,0.4948745139625309,GSE213216,-0.5194047965825397
GSM6574527,Endometriosis,5857,0.3926925046952365,GSE213216,-0.7078700222631026
GSM6574528,Endometriosis,2850,0.3508771929824561,GSE213216,-0.7965602759333761
GSM6574529,Control,1729,0.3470213996529786,GSE213216,-0.8051488115704651
GSM6574530,Endometriosis,630,0.4761904761904762,GSE213216,-0.5513169851207275
GSM6574531,Control,3148,0.3811944091486658,GSE213216,-0.731483913509654
GSM6574532,Endometriosis,692,0.4335260115606936,GSE213216,-0.6282474529889726
GSM6574533,Endometriosis,6817,2.845826609945724,GSE213216,1.0803894602138917
GSM6574534,Endometriosis,1334,0.0749625187406296,GSE213216,-1.7431835066231138
GSM6574535,Endometriosis,4527,0.7731389441130992,GSE213216,-0.13566057874699758
GSM6574536,Endometriosis,2090,0.4784688995215311,GSE213216,-0.5473704943440639
GSM6574537,Endometriosis,2743,0.6197593875318994,GSE213216,-0.3288383068074201
GSM6574538,Endometriosis,124,0.0,GSE213216,-2.3025850929940455
GSM6574541,Endometriosis,407,0.0,GSE213216,-2.3025850929940455
GSM6574542,Endometriosis,3578,1.2576858580212409,GSE213216,0.305781675440544
GSM6574543,Endometriosis,1153,1.1274934952298352,GSE213216,0.20497428147073427
GSM6574544,Endometriosis,1003,0.1994017946161515,GSE213216,-1.2059688129726511
GSM6574545,Endometriosis,747,0.1338688085676037,GSE213216,-1.4529949679928067
GSM6574546,Endometriosis,1548,1.8733850129198968,GSE213216,0.6797503488645568
GSM6574547,Endometriosis,3339,0.2395926924228811,GSE213216,-1.0800083429658605
GSM6574548,Endometriosis,641,0.0,GSE213216,-2.3025850929940455
GSM6574549,Endometriosis,287,0.0,GSE213216,-2.3025850929940455
GSM6574552,Endometriosis,310,0.0,GSE213216,-2.3025850929940455
GSM6574553,Endometriosis,608,0.1644736842105263,GSE213216,-1.330013525221301
